epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33791,1.79271,3.71128,1.34408,0.00494,0.55646,0.12738,0.06052,1.56026,3.73053,1.2143,0.0973,0.0003,0.0003
2,7.79593,1.71691,3.71124,1.32727,0.00322,0.50463,0.10432,0.05864,1.72289,3.73472,1.2973,0.0937,0.000699957,0.000699957
3,10.3401,1.97657,3.0426,1.31666,0.33571,0.46849,0.1859,0.11946,2.21347,3.68056,1.6693,0.0900997,0.00109973,0.00109973
4,12.9059,1.74947,2.09478,1.25984,0.00265,0.51852,0.05682,0.02665,2.11213,3.43839,2.37131,0.0864992,0.00149918,0.00149918
5,15.4312,1.66916,1.8522,1.21534,0.3462,0.03704,0.01138,0.00177,2.76922,4.59731,5.57003,0.0828981,0.00189814,0.00189814
6,17.9923,1.6488,1.77172,1.22207,0.00159,0.25463,0.00355,0.00065,3.86942,4.39305,16.5878,0.0792965,0.00229649,0.00229649
7,20.5325,1.62545,1.57375,1.18906,0.33435,0.25926,0.00316,0.00237,4.18626,inf,154.422,0.0756941,0.00269407,0.00269407
8,23.0812,1.62644,1.55268,1.1938,0.0003,0.05556,0.00017,8e-05,nan,nan,nan,0.0720907,0.00309073,0.00309073
9,25.68,1.64434,1.51929,1.16854,0.00029,0.04167,0.0002,7e-05,nan,nan,nan,0.0684863,0.00348634,0.00348634
10,28.2932,1.60862,1.42308,1.17391,0.00023,0.0009,0.00011,2e-05,nan,nan,nan,0.0648807,0.00388074,0.00388074
11,30.9565,1.64174,1.49596,1.17962,0,0,0,0,nan,nan,nan,0.0612738,0.00427379,0.00427379
12,33.507,1.60131,1.38651,1.14548,0.00113,0.02778,0.00045,9e-05,nan,nan,nan,0.0576654,0.00466536,0.00466536
13,36.3939,1.5441,1.41599,1.12145,0.00034,0.04167,0.00037,9e-05,nan,nan,nan,0.0540553,0.00505528,0.00505528
14,39.267,1.53293,1.3777,1.11923,0.00033,0.04167,0.00032,0.00012,4.38515,inf,148.333,0.0504434,0.00544343,0.00544343
15,42.0208,1.52855,1.35152,1.14623,0.00022,0.02778,0.00024,9e-05,nan,nan,nan,0.0468297,0.00582966,0.00582966
16,44.8155,1.5417,1.36606,1.15334,0.00045,0.05556,0.00159,0.00065,3.82817,inf,27.0511,0.0432138,0.00621384,0.00621384
17,47.8393,1.49201,1.31885,1.13473,0.00037,0.04167,0.00097,0.0002,4.00667,inf,13.6161,0.0395958,0.00659581,0.00659581
18,50.6051,1.47831,1.3421,1.14472,0.00021,0.02778,0.00038,0.0001,4.19455,inf,8.90432,0.0359754,0.00697544,0.00697544
19,53.3222,1.44941,1.32498,1.11613,0.00072,0.09722,0.00051,0.00014,3.55415,inf,4.83225,0.0323526,0.00735259,0.00735259
20,56.0133,1.46446,1.23705,1.1175,0.0013,0.15278,0.00126,0.00256,3.44531,inf,4.04056,0.0287271,0.00772713,0.00772713
21,58.7847,1.49748,1.31197,1.12373,0.00148,0.11111,0.00098,0.0003,3.32601,inf,3.74249,0.0250989,0.00809892,0.00809892
22,61.6923,1.51229,1.26975,1.08264,0.33676,0.09722,0.16949,0.10092,3.12214,74.8516,2.55686,0.0214678,0.00846782,0.00846782
23,64.4964,1.48311,1.27054,1.11414,0.21266,0.24244,0.13892,0.06855,2.48401,35.8626,2.00286,0.0178337,0.0088337,0.0088337
24,67.2728,1.46702,1.23445,1.11544,0.13241,0.28644,0.1116,0.04613,2.43082,10.7021,1.75395,0.0141964,0.00919643,0.00919643
25,70.289,1.45957,1.27953,1.10359,0.18524,0.13884,0.11562,0.04687,2.34404,5.59134,1.79085,0.0105559,0.00955587,0.00955587
26,73.1442,1.48552,1.25987,1.13539,0.26232,0.18731,0.19479,0.06157,2.17805,12.2268,1.52403,0.0096232,0.0096232,0.0096232
27,75.9084,1.41441,1.20225,1.09561,0.27615,0.23573,0.21644,0.09661,1.9676,3.44277,1.44612,0.00959289,0.00959289,0.00959289
28,78.6988,1.41092,1.20912,1.08506,0.33045,0.28369,0.26316,0.12334,1.86732,4.54334,1.3355,0.00956145,0.00956145,0.00956145
29,81.5607,1.45475,1.21114,1.08378,0.26953,0.23809,0.18669,0.09517,1.89815,5.76031,1.37176,0.00952889,0.00952889,0.00952889
30,84.2172,1.45392,1.23802,1.10213,0.29137,0.38553,0.25549,0.12784,2.02823,3.67386,1.36802,0.00949524,0.00949524,0.00949524
31,87.0819,1.43985,1.15311,1.07643,0.24657,0.37965,0.25162,0.13027,2.0742,3.74351,1.32128,0.00946048,0.00946048,0.00946048
32,89.9503,1.41552,1.17842,1.0826,0.15259,0.34144,0.16373,0.06494,2.41815,8.00293,1.41049,0.00942464,0.00942464,0.00942464
33,92.6271,1.35844,1.12966,1.0683,0.1403,0.35668,0.13399,0.05268,2.54928,8.53605,1.47307,0.00938772,0.00938772,0.00938772
34,95.1562,1.3916,1.10532,1.0493,0.24625,0.18033,0.1226,0.04897,2.3855,4.76479,1.33141,0.00934973,0.00934973,0.00934973
35,97.697,1.37018,1.13129,1.06839,0.20942,0.23034,0.17206,0.07791,2.1731,3.40043,1.28028,0.00931067,0.00931067,0.00931067
36,100.479,1.41278,1.14656,1.08645,0.27966,0.32888,0.22048,0.11058,2.16391,2.88543,1.25795,0.00927057,0.00927057,0.00927057
37,103.315,1.35045,1.09536,1.06715,0.13683,0.43694,0.18108,0.07724,2.2741,5.95753,1.31758,0.00922942,0.00922942,0.00922942
38,106.089,1.36373,1.08464,1.05764,0.13807,0.23889,0.09238,0.02537,2.83971,12.7728,1.54513,0.00918725,0.00918725,0.00918725
39,109.12,1.3986,1.11058,1.06271,0.29218,0.27245,0.23229,0.10467,2.08517,3.68648,1.28368,0.00914405,0.00914405,0.00914405
40,112.34,1.33869,1.10778,1.08935,0.27905,0.57478,0.36197,0.21912,1.70332,2.29436,1.11663,0.00909984,0.00909984,0.00909984
41,116.556,1.37831,1.14328,1.0746,0.3659,0.1283,0.12831,0.0508,2.47315,2.4715,1.40734,0.00905463,0.00905463,0.00905463
42,121.682,1.35907,1.0735,1.082,0.33697,0.24317,0.22945,0.11077,2.31802,3.05736,1.30219,0.00900844,0.00900844,0.00900844
43,125.761,1.35625,1.07934,1.0463,0.1649,0.2036,0.13338,0.07704,2.81382,10.3912,1.5526,0.00896127,0.00896127,0.00896127
44,128.352,1.40593,1.11226,1.04895,0.39554,0.30998,0.32809,0.17434,2.10226,6.73236,1.23559,0.00891313,0.00891313,0.00891313
45,130.904,1.37344,1.12036,1.0717,0.40757,0.375,0.39493,0.21665,1.73063,2.76801,1.13997,0.00886404,0.00886404,0.00886404
46,133.433,1.31755,1.08806,1.04061,0.42614,0.26805,0.25509,0.13576,1.85502,2.5362,1.18636,0.00881401,0.00881401,0.00881401
47,135.965,1.34067,1.10201,1.0503,0.59291,0.40729,0.41494,0.24365,1.70674,1.84062,1.16708,0.00876305,0.00876305,0.00876305
48,138.48,1.35396,1.10338,1.05666,0.50251,0.53676,0.47692,0.27421,1.67603,1.91633,1.11293,0.00871117,0.00871117,0.00871117
49,140.973,1.3207,1.07611,1.03004,0.50673,0.57302,0.47322,0.2549,1.5681,1.63694,1.08352,0.00865839,0.00865839,0.00865839
50,143.535,1.29904,1.06793,1.03861,0.59206,0.58604,0.56632,0.29573,1.52502,3.71391,1.06981,0.00860473,0.00860473,0.00860473
51,146.063,1.31991,1.10002,1.03566,0.43144,0.41562,0.35084,0.20646,1.59464,7.03849,1.09103,0.00855018,0.00855018,0.00855018
52,148.569,1.27422,1.037,1.04919,0.41928,0.58731,0.40557,0.24714,1.62021,4.10307,1.09638,0.00849477,0.00849477,0.00849477
53,151.098,1.3012,1.01516,1.02206,0.34894,0.64982,0.32047,0.20295,1.58991,5.42271,1.0932,0.00843851,0.00843851,0.00843851
54,153.694,1.32835,1.03897,1.02324,0.25109,0.56579,0.24731,0.14676,1.65194,5.88652,1.17511,0.00838141,0.00838141,0.00838141
55,156.242,1.30971,1.0521,1.02511,0.47425,0.43261,0.44279,0.25735,1.56715,2.11481,1.11182,0.00832349,0.00832349,0.00832349
56,158.878,1.34436,1.0353,1.04561,0.56868,0.54936,0.53804,0.29786,1.65563,1.63635,1.09969,0.00826477,0.00826477,0.00826477
57,161.549,1.30043,1.03462,1.02436,0.72166,0.59144,0.59728,0.33174,1.69514,1.44766,1.15046,0.00820525,0.00820525,0.00820525
58,164.353,1.27492,0.98892,1.0254,0.56139,0.45622,0.45566,0.23508,1.84276,1.91191,1.2935,0.00814495,0.00814495,0.00814495
