epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93993,1.75663,3.70377,1.34385,0.00467,0.54167,0.12548,0.04211,1.58546,3.72903,1.21128,0.0973,0.0003,0.0003
2,8.57027,1.77401,3.73037,1.35108,0.00538,0.55826,0.17347,0.07377,1.60107,3.71609,1.2095,0.0937,0.000699957,0.000699957
3,11.2351,1.92979,3.04766,1.30333,0.00294,0.50463,0.11184,0.04579,1.98288,3.48897,1.33701,0.0900997,0.00109973,0.00109973
4,14.305,1.6398,2.06481,1.21801,0.27393,0.58579,0.24368,0.11034,1.88969,3.25106,1.31773,0.0864992,0.00149918,0.00149918
5,18.097,1.64584,1.83052,1.20614,0.3133,0.20333,0.1649,0.09922,2.38903,3.48489,1.96726,0.0828981,0.00189814,0.00189814
6,23.0601,1.64737,1.67599,1.18142,0.337,0.03704,0.002,0.00086,3.52023,4.19346,14.8961,0.0792965,0.00229649,0.00229649
7,27.915,1.62469,1.62318,1.19958,0.00115,0.24074,0.00129,0.00022,3.54082,inf,75.7075,0.0756941,0.00269407,0.00269407
8,32.985,1.66668,1.60257,1.20564,0.0005,0.125,0.0004,0.00023,4.01679,inf,167.944,0.0720907,0.00309073,0.00309073
9,37.5269,1.61764,1.51158,1.19192,0,0,0,0,nan,nan,nan,0.0684863,0.00348634,0.00348634
10,42.0253,1.63958,1.47194,1.21315,0,0,0,0,nan,nan,nan,0.0648807,0.00388074,0.00388074
11,47.2359,1.64366,1.44099,1.18871,0,0,0,0,nan,nan,nan,0.0612738,0.00427379,0.00427379
12,52.2751,1.57716,1.35813,1.14594,0,0,0,0,nan,nan,nan,0.0576654,0.00466536,0.00466536
13,57.3759,1.53535,1.4184,1.15913,0,0,0,0,nan,nan,nan,0.0540553,0.00505528,0.00505528
14,62.7574,1.55581,1.36547,1.1603,0,0,0,0,nan,nan,nan,0.0504434,0.00544343,0.00544343
15,68.4802,1.4628,1.35303,1.13591,0.00047,0.05556,0.00035,0.0001,4.08991,inf,34.8132,0.0468297,0.00582966,0.00582966
16,73.7847,1.53077,1.3048,1.11217,0.00067,0.09722,0.00054,0.00016,4.3542,inf,22.9483,0.0432138,0.00621384,0.00621384
17,79.0958,1.53849,1.3406,1.15321,0.00376,0.04144,0.00215,0.00056,3.98049,18.8017,9.64643,0.0395958,0.00659581,0.00659581
18,84.2858,1.46223,1.26019,1.10422,0.00271,0.03964,0.00154,0.00033,3.999,15.4375,3.71793,0.0359754,0.00697544,0.00697544
19,89.566,1.45757,1.25116,1.12272,0.00366,0.04272,0.00202,0.00067,4.00522,50.9733,6.55105,0.0323526,0.00735259,0.00735259
20,94.6548,1.49344,1.23777,1.12285,0.00281,0.02868,0.00142,0.00097,2.42501,56.7852,2.09905,0.0287271,0.00772713,0.00772713
21,99.7058,1.50655,1.30316,1.12933,0.16527,0.18881,0.10746,0.05649,2.72249,26.8902,2.00051,0.0250989,0.00809892,0.00809892
22,104.705,1.49578,1.23307,1.12632,0.14562,0.1485,0.14613,0.06283,2.45714,3.81503,1.88304,0.0214678,0.00846782,0.00846782
23,109.187,1.44245,1.20576,1.11732,0.12787,0.14722,0.13138,0.05373,2.44532,3.79781,2.08824,0.0178337,0.0088337,0.0088337
24,113.627,1.51214,1.2587,1.14243,0.15619,0.21239,0.11169,0.04452,2.20423,2.61923,1.65516,0.0141964,0.00919643,0.00919643
25,116.244,1.47497,1.19982,1.1378,0.22259,0.3509,0.1714,0.06383,2.40736,4.79087,2.09912,0.0105559,0.00955587,0.00955587
26,118.877,1.47475,1.30138,1.12712,0.1467,0.60621,0.14959,0.05987,1.93921,3.99887,1.33648,0.0096232,0.0096232,0.0096232
27,121.493,1.45648,1.2691,1.10195,0.18575,0.36727,0.17193,0.07445,2.03273,2.77726,1.40746,0.00959289,0.00959289,0.00959289
28,124.567,1.47548,1.24776,1.13781,0.23868,0.36931,0.2293,0.10489,1.86496,2.11056,1.24821,0.00956145,0.00956145,0.00956145
29,127.44,1.42899,1.19087,1.09063,0.17749,0.2785,0.16868,0.07512,1.97377,3.24987,1.31087,0.00952889,0.00952889,0.00952889
30,131.378,1.45839,1.20624,1.09639,0.13244,0.26126,0.11095,0.03574,2.30475,7.06693,1.55311,0.00949524,0.00949524,0.00949524
31,136.148,1.4294,1.18545,1.11415,0.21055,0.28776,0.19325,0.08767,2.02788,8.81882,1.42664,0.00946048,0.00946048,0.00946048
32,141.028,1.38484,1.17108,1.0858,0.30545,0.24556,0.28793,0.13567,1.95307,3.91778,1.42664,0.00942464,0.00942464,0.00942464
33,145.768,1.38004,1.14631,1.07181,0.35477,0.29722,0.29433,0.14675,1.89491,3.67078,1.25369,0.00938772,0.00938772,0.00938772
34,150.439,1.37606,1.12291,1.06526,0.40127,0.30309,0.29843,0.15242,1.83044,3.15957,1.18626,0.00934973,0.00934973,0.00934973
