epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,563.147,1.62701,1.20393,0.95809,0.16577,0.1557,0.15803,0.06313,2.43218,19.1721,1.40901,0.00881401,0.00881401,0.00881401
47,575.135,1.64928,1.18542,0.99581,0.17631,0.14693,0.15488,0.05754,2.48148,11.2057,1.49001,0.00876305,0.00876305,0.00876305
48,586.863,1.63811,1.1687,0.99837,0.47836,0.15022,0.11954,0.04022,2.63061,11.7376,1.55808,0.00871117,0.00871117,0.00871117
49,598.599,1.60358,1.21522,1.00168,0.47836,0.15022,0.11954,0.04022,2.63061,11.7376,1.55808,0.00865839,0.00865839,0.00865839
50,610.649,1.62294,1.1281,0.97301,0.48095,0.14912,0.11974,0.04017,2.50685,5.66788,1.61047,0.00860473,0.00860473,0.00860473
51,622.747,1.70954,1.18359,0.98968,0.51564,0.15351,0.16044,0.06317,2.23418,3.12283,1.42782,0.00855018,0.00855018,0.00855018
52,634.597,1.57516,1.15186,0.97277,0.18132,0.16996,0.20421,0.0804,2.10742,2.5601,1.24888,0.00849477,0.00849477,0.00849477
53,647.375,1.59032,1.13493,0.96132,0.18132,0.16996,0.20421,0.0804,2.10742,2.5601,1.24888,0.00843851,0.00843851,0.00843851
54,660.654,1.55325,1.22794,0.97596,0.25144,0.26937,0.22287,0.08783,2.14997,2.69077,1.21248,0.00838141,0.00838141,0.00838141
55,674.019,1.55035,1.14338,0.97009,0.50656,0.24598,0.20335,0.09086,2.02613,2.13174,1.1432,0.00832349,0.00832349,0.00832349
56,686.17,1.49775,1.12079,0.9932,0.54073,0.21857,0.18349,0.07993,2.04871,1.89627,1.18076,0.00826477,0.00826477,0.00826477
57,697.838,1.57161,1.12544,0.95742,0.54073,0.21857,0.18349,0.07993,2.04871,1.89627,1.18076,0.00820525,0.00820525,0.00820525
58,709.751,1.54032,1.12149,0.98025,0.61872,0.28751,0.25149,0.11158,1.9822,1.5314,1.17152,0.00814495,0.00814495,0.00814495
59,721.71,1.50647,1.12452,0.96685,0.33962,0.44554,0.32236,0.17852,1.90755,1.58517,1.0964,0.00808389,0.00808389,0.00808389
60,733.232,1.4947,1.10646,0.97268,0.34414,0.41923,0.3263,0.18785,1.84002,1.59207,1.06816,0.00802208,0.00802208,0.00802208
61,744.977,1.51496,1.04335,0.95444,0.34414,0.41923,0.3263,0.18785,1.84002,1.59207,1.06816,0.00795954,0.00795954,0.00795954
62,756.617,1.50943,1.11804,0.96389,0.78177,0.41504,0.52466,0.3243,1.70554,1.31947,1.00472,0.00789628,0.00789628,0.00789628
63,768.46,1.43512,1.06758,0.94868,0.69399,0.59832,0.67692,0.39372,1.70929,1.19462,0.98658,0.00783231,0.00783231,0.00783231
64,780.288,1.5136,1.10905,0.96787,0.82164,0.44605,0.63833,0.39196,1.68848,1.28518,0.97903,0.00776766,0.00776766,0.00776766
65,791.961,1.44783,0.9844,0.92246,0.82164,0.44605,0.63833,0.39196,1.68848,1.28518,0.97903,0.00770234,0.00770234,0.00770234
66,803.599,1.44872,1.00732,0.94134,0.84722,0.34254,0.53704,0.35778,1.64226,1.43823,0.9713,0.00763637,0.00763637,0.00763637
67,815.597,1.44432,1.04031,0.9574,0.8255,0.42142,0.56193,0.37337,1.73403,1.26504,1.0003,0.00756976,0.00756976,0.00756976
68,827.565,1.46151,1.04664,0.95925,0.42154,0.63048,0.60253,0.36116,1.6999,1.18842,0.9837,0.00750252,0.00750252,0.00750252
69,839.239,1.45756,1.01075,0.9652,0.42154,0.63048,0.60253,0.36116,1.6999,1.18842,0.9837,0.00743468,0.00743468,0.00743468
70,851.079,1.4649,1.0394,0.93132,0.51724,0.82713,0.74912,0.4448,1.65929,1.16638,0.96411,0.00736625,0.00736625,0.00736625
71,862.701,1.51276,1.07968,0.95538,0.5576,0.58551,0.65561,0.44238,1.66593,1.16979,0.95285,0.00729725,0.00729725,0.00729725
72,874.639,1.54258,1.04016,0.95111,0.47296,0.6462,0.6288,0.41729,1.64991,1.20033,0.95034,0.0072277,0.0072277,0.0072277
