epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9237,1.76877,3.70825,1.33291,0.00287,0.5,0.06648,0.03931,1.916,3.73188,1.452,0.0937,0.0007,0.0007
2,17.9477,1.98272,2.6141,1.36617,0.06082,0.54187,0.15732,0.06221,2.26979,3.17539,2.10487,0.0864999,0.00149991,0.00149991
3,23.1643,1.80699,2.02363,1.27705,0.33495,0.22402,0.17001,0.10177,2.66291,3.57616,3.9908,0.0792994,0.00229944,0.00229944
4,28.3659,1.78193,1.83795,1.27667,0.00037,0.05093,0.00198,0.00066,4.55867,inf,643.168,0.0720983,0.0030983,0.0030983
5,32.9892,1.79409,1.7269,1.27883,0,0,0,0,nan,nan,nan,0.0648962,0.00389619,0.00389619
6,37.8785,1.78647,1.73196,1.26955,0.0003,0.0045,0.00016,4e-05,nan,nan,nan,0.0576928,0.00469283,0.00469283
7,42.3929,1.71849,1.6977,1.28181,0,0,0,0,nan,nan,nan,0.0504879,0.00548792,0.00548792
8,47.0079,1.66323,1.56475,1.22243,0,0,0,0,nan,nan,nan,0.0432812,0.00628117,0.00628117
9,51.5216,1.64254,1.54766,1.1897,0,0,0,0,nan,nan,nan,0.0360723,0.00707229,0.00707229
10,55.8756,1.69621,1.55456,1.2145,0,0,0,0,nan,nan,nan,0.028861,0.00786099,0.00786099
11,60.2755,1.70418,1.55956,1.23265,0,0,0,0,nan,nan,nan,0.021647,0.00864698,0.00864698
12,64.6659,1.62212,1.5003,1.18931,0.00201,0.12733,0.00166,0.0006,nan,nan,nan,0.01443,0.00942998,0.00942998
13,69.0847,1.59004,1.47372,1.20457,0.67778,0.03704,0.0071,0.00161,3.87118,38.5345,6.40799,0.00991232,0.00991232,0.00991232
14,73.3547,1.63059,1.47349,1.22242,0.0668,0.16724,0.05029,0.01542,3.25771,14.5675,3.01861,0.00989715,0.00989715,0.00989715
15,77.6831,1.62297,1.4309,1.19116,0.75502,0.06577,0.04091,0.00932,3.4762,17.9282,2.6798,0.00988079,0.00988079,0.00988079
16,82.1336,1.61754,1.41583,1.1509,0.37978,0.15256,0.11116,0.04734,2.94477,12.3156,1.73785,0.00986323,0.00986323,0.00986323
17,86.4275,1.52732,1.35625,1.14565,0.17261,0.24302,0.14311,0.06485,2.37119,4.59652,1.4746,0.00984449,0.00984449,0.00984449
18,90.7406,1.53418,1.34936,1.14139,0.37204,0.29273,0.31523,0.15942,1.99538,2.51878,1.30226,0.00982456,0.00982456,0.00982456
19,95.1314,1.49484,1.29302,1.12905,0.53921,0.22065,0.15101,0.06053,2.27651,4.28294,1.31541,0.00980345,0.00980345,0.00980345
20,99.3285,1.46712,1.28048,1.10386,0.56134,0.21959,0.14591,0.05546,2.28891,9.17923,1.4457,0.00978118,0.00978118,0.00978118
21,103.705,1.51978,1.33831,1.18204,0.49049,0.203,0.1016,0.02959,2.7434,16.454,1.73009,0.00975773,0.00975773,0.00975773
22,108.12,1.51368,1.28194,1.14634,0.15192,0.21524,0.12356,0.04468,2.3575,7.87589,1.41425,0.00973312,0.00973312,0.00973312
23,112.342,1.52761,1.26282,1.15575,0.2334,0.24429,0.19419,0.08752,2.08919,3.55539,1.28758,0.00970736,0.00970736,0.00970736
24,116.621,1.50493,1.32547,1.16853,0.33473,0.24539,0.26527,0.13163,1.93643,2.87178,1.20452,0.00968045,0.00968045,0.00968045
25,120.857,1.50818,1.31876,1.15138,0.52273,0.53835,0.45992,0.25249,1.64209,2.61285,1.10976,0.00965239,0.00965239,0.00965239
26,125.179,1.44779,1.2785,1.14779,0.55148,0.54058,0.45533,0.25281,1.72305,2.52977,1.19866,0.0096232,0.0096232,0.0096232
27,129.556,1.49406,1.29895,1.14292,0.42993,0.41454,0.40332,0.20758,1.94645,2.1699,1.26906,0.00959289,0.00959289,0.00959289
28,133.817,1.51529,1.34262,1.14737,0.39162,0.40325,0.42604,0.24021,1.66673,1.82444,1.13161,0.00956145,0.00956145,0.00956145
29,138.138,1.52107,1.25687,1.09997,0.45666,0.48931,0.48149,0.27669,1.68306,1.674,1.12238,0.00952889,0.00952889,0.00952889
30,142.693,1.55258,1.32189,1.14167,0.42961,0.49096,0.48413,0.28799,1.66557,1.56664,1.1046,0.00949524,0.00949524,0.00949524
31,147.264,1.4548,1.23679,1.12729,0.63149,0.43058,0.51455,0.32472,1.63778,1.4003,1.1,0.00946048,0.00946048,0.00946048
32,151.717,1.40456,1.23946,1.10328,0.4654,0.50893,0.51793,0.31811,1.62763,1.38976,1.10347,0.00942464,0.00942464,0.00942464
33,156.133,1.41969,1.22716,1.09766,0.69091,0.57302,0.64292,0.42675,1.52667,1.3837,1.08347,0.00938772,0.00938772,0.00938772
34,160.693,1.43194,1.18118,1.09522,0.58023,0.55941,0.60035,0.3912,1.52875,1.40864,1.07152,0.00934973,0.00934973,0.00934973
35,164.94,1.39429,1.19583,1.08828,0.43103,0.47134,0.3699,0.19469,1.6463,1.55927,1.09567,0.00931067,0.00931067,0.00931067
36,169.33,1.37043,1.17497,1.08389,0.37209,0.50071,0.42345,0.24149,1.60577,1.47383,1.09717,0.00927057,0.00927057,0.00927057
37,173.809,1.39969,1.13983,1.08322,0.55637,0.45726,0.50748,0.33383,1.54033,1.6065,1.08296,0.00922942,0.00922942,0.00922942
38,178.347,1.33535,1.15124,1.09034,0.59134,0.46785,0.53684,0.37071,1.4972,1.41735,1.05575,0.00918725,0.00918725,0.00918725
39,183.585,1.39073,1.15464,1.06636,0.5566,0.37742,0.46697,0.27974,1.59861,1.63354,1.09464,0.00914405,0.00914405,0.00914405
40,188.16,1.40309,1.16245,1.08387,0.57087,0.5203,0.50994,0.3287,1.56565,1.51546,1.06767,0.00909984,0.00909984,0.00909984
41,192.62,1.35387,1.17426,1.07531,0.40641,0.59567,0.48831,0.31401,1.55027,1.51156,1.08642,0.00905463,0.00905463,0.00905463
42,196.924,1.37547,1.11927,1.0876,0.66919,0.45608,0.56516,0.37241,1.53108,1.45017,1.04719,0.00900844,0.00900844,0.00900844
43,201.241,1.40401,1.12255,1.08186,0.69435,0.568,0.61824,0.36341,1.62564,1.44494,1.0748,0.00896127,0.00896127,0.00896127
