epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2649,2.01399,3.59483,1.15115,0.00295,0.55556,0.13421,0.07522,2.18536,3.79573,1.31289,0.0982,0.0002,0.0002
2,22.4008,1.94382,2.75723,1.09721,0.00251,0.47222,0.07696,0.04289,2.28584,3.92361,1.58576,0.0955,0.000499969,0.000499969
3,33.6669,1.86232,2.0387,1.04496,0.04229,0.40132,0.10391,0.05929,2.59052,3.71321,1.4852,0.0927998,0.000799805,0.000799805
4,44.6715,1.7583,1.85994,1.03107,0.01295,0.08333,0.02737,0.01082,2.99281,3.69299,1.90438,0.0900994,0.0010994,0.0010994
5,55.6632,1.82901,1.72244,1.05666,0.03807,0.36586,0.05209,0.01834,2.84371,3.61643,1.77526,0.0873986,0.00139863,0.00139863
6,66.6824,1.84245,1.67521,1.08079,0.08839,0.33041,0.07975,0.03273,2.76844,3.5738,1.79586,0.0846974,0.00169741,0.00169741
7,77.6361,1.7774,1.56293,1.03832,0.02938,0.28545,0.02195,0.0047,3.92732,3.7094,2.08835,0.0819956,0.00199561,0.00199561
8,88.6295,1.89902,1.54598,1.02231,0.00096,0.27778,0.01482,0.00583,3.50151,3.59346,1.83338,0.0792931,0.00229312,0.00229312
9,99.7456,1.77471,1.45916,1.04553,0.00223,0.38889,0.00253,0.00074,3.73999,3.66502,2.61757,0.0765899,0.00258985,0.00258985
10,110.831,1.70427,1.40458,1.04054,0.00276,0.36111,0.00426,0.00132,4.35849,5.24935,6.37983,0.0738857,0.00288568,0.00288568
11,121.84,1.72926,1.40728,1.02484,0.00622,0.08333,0.00296,0.00115,4.34111,7.93258,6.47084,0.0711805,0.0031805,0.0031805
12,133.123,1.75719,1.35075,1.01609,0.0035,0.11111,0.00192,0.00105,4.53231,9.69334,6.54129,0.0684742,0.0034742,0.0034742
13,144.189,1.79069,1.40725,1.02985,0.33654,0.02778,0.0011,0.00014,4.02984,26.1445,4.63212,0.0657667,0.00376668,0.00376668
14,155.272,1.76303,1.39154,1.00851,0.00069,0.16667,0.00196,0.00027,4.25148,301.723,6.28929,0.0630578,0.00405783,0.00405783
15,166.397,1.83712,1.40947,0.99675,0.00031,0.05556,0.00021,2e-05,3.47327,842.358,20.3051,0.0603475,0.00434755,0.00434755
16,177.38,1.79404,1.42832,1.03657,0,0,0,0,3.52162,977.35,22.7077,0.0576357,0.00463572,0.00463572
17,188.247,1.81885,1.39493,1.05362,0,0,0,0,3.46619,957.429,16.0799,0.0549222,0.00492224,0.00492224
